id,brand,power_type,zones,type,description
1099137205,Dykemann,,,,
1027287506,VIKTORY,"От сети 220В, Встроенный аккумулятор","Ноги, Поясница, Руки, Спина, Шея, Ягодицы","Вибрационный, Импульсный, Миостимулирующий, Лимфодренажный, Расслабляющий, Антицеллюлитный","Способ применения
Последовательность применения:
1. Перед использованием массажера, убедитесь, что область массажа тела чистая и не содержит следов пота. 
2. Установите массажер с помощью магнитных присосок на гелевую накладку;
3. Удалите защитную пленку с накладки;
4. Зафиксируйте накладку на необходимом участке тела, для лучшей фиксации можно воспользоваться ремешками, продев их между миостимулятором и накладкой;
5. Нажмите и удерживайте кнопку ""М"", чтобы запустить устройство. Также используйте пульт дистанционного управления для выбора необходимого режима и скорости;
6. Для выбора режима - короткое нажатие кнопки ""М""
При выборе скорости постепенно увеличивайте силу тока до тех пор, пока не почувствуете в теле комфорт;
Интенсивность: можно выбрать от 1 до 19.

1. Knock (покалывание) - уменьшает боль в мышцах и придает тонус, улучшает работу нервной системы;
Режим 2: Shake (встряска) - укрепляет мышцы, снимает напряжение и усталость, помогает скорректировать фигуру;
Режим 3: Press (пресс) - уменьшает объем талии и укрепляет мышцы пресса, формирует рельеф мышечного пояса;
Режим 4: Massage (массаж) - укрепляет сосуды и стимулирует лимфо- и кровообращение, помогает при атрофии мышц и тканей;
Режим 5: Knead (разминка) - повышает физическую выносливость, ускоряет обменные процессы;
Режим 6: Intensify (укрепление) - укрепляет мышцы и улучшает питание кожи, добиваясь эффекта лифтинга кожи и упругости мышц;
 + Дополнительный режим (разогревающий эффект до 43 °C) - физиотерапевтическое действие, расслабление, снятие мышечных спазмов, боли и уменьшение накопления молочной кислоты.

Рекомендации специалистов:
 • Оптимальная длительность процедуры миостимуляции 30 минут. 
 • Проводить процедуру желательно раз в 2-3 дня по 30 минут, либо раз в 1-2 дня по 15-20 
    минут. 
 • Тренировка проводится примерно через 1-1,5 часа после приема пищи и не менее чем за 1,5-2 часа до сна.

Что даёт Миостимулятор:
-Благодаря мышечным сокращениям улучшается кровообращение и тканевая циркуляция жидкостей;
-Прибор усиливает метаболизм, избавляет от отеков и уменьшает количество жировой ткани;
-Укрепляет сосуды и стимулирует циркуляцию крови, улучшая питание кожи и работу мышц;
-Ваши мышцы и кожа становятся упругими, а тело подтянутым;
-Прибор способствует уменьшению целлюлита;
-Активизирует работу и питание тканей; 
-Поможет избавиться от лишнего веса;
-Сформировать красивый мышечный пояс;
-Придать мышцам тонус и рельеф;
 -Женщинам после родов помогает избавиться от растяжек, подтянуть живот, ягодицы и бедра.

Внимание:
Не используйте миостимулятор одновременно с другими медицинскими аппаратами, это может привести к серьезным повреждениям тела.

ems массажер для ног ; антицеллюлитный массажер ; антицеллюлитный массажер для тела ; аппарат для похудения ; вибромассажер для похудения ; вибромассажер для пресса ; вибромассажер для тела ; все для похудения ; для похудения живота ; для похудения тренажер ; для пресса ; для пресса миостимулятор ; для пресса тренажр ; для спины массажер ; домашний массажер ; домашний тренажер ; для массажа ; для массажа тела ; для шеи тренажер ; лимфодренажный массажер для ног; лимфодренажный массажер для тела ; масажер ; масажор для ног; массаж для ног ; массаж ног ; массаж шеи ; массажр ; массажер антицеллюлитный ; массажер антицеллюлитный для тела ; массажер для живота для похудения ; массажер для ног электрический с подогревом лимфодренажный; массажер для похудения живота ; массажер для ног ; массажер антицеллюлитный ручной ; массажер для всего тела антицеллюлитный ; массажер для пресса ; массажер для спины и шеи электрический ; массажер для тела антицеллюлитный ; массажер для тела ручной ; массажер для тела электрический ; массажер для шеи и спины ; массажер для шеи и спины электрический ; массажер для шеи электрический ; массажер ног электрические ; массажер от целлюлита электрический ; массажер спины ; массажер ручной для тела ; массажер электрический для тела ; массажор для ног ; массажоры для ног спины тела электрические ; микротоковый массажер для тела ; миостимулято-тренажер ; массажоры для шеи ; от целлюлита массажер ; тренажер для дома ; тренажер для живота ног и ягодиц ; тренажер для похудения ; Тренажер для пресса живота ; тренажер для спины ; тренажер для шеи ягодиц ; тренажеры для дома ; тренажеры для похудения ; электрический массажер для ног ; электро массажер для шеи и спины ; электромассажер для ног ; электромассажер для тела ; электромассажер для шеи и спины ; массажер для спины электрический ; массажер в машину 
Способ применения
Последовательность применения:
1. Перед использованием массажера, убедитесь, что область массажа тела чистая и не содержит следов пота. 
2. Установите массажер с помощью магнитных присосок на гелевую накладку;
3. Удалите защитную пленку с накладки;
4. Зафиксируйте накладку на необходимом участке тела, для лучшей фиксации можно воспользоваться ремешками, продев их между миостимулятором и накладкой;
5. Нажмите и удерживайте кнопку ""М"", чтобы запустить устройство. Также используйте пульт дистанционного управления для выбора необходимого режима и скорости;
6. Для выбора режима - короткое нажатие кнопки ""М""
При выборе скорости постепенно увеличивайте силу тока до тех пор, пока не почувствуете в теле комфорт;
Интенсивность: можно выбрать от 1 до 19.

1. Knock (покалывание) - уменьшает боль в мышцах и придает тонус, улучшает работу нервной системы;
Режим 2: Shake (встряска) - укрепляет мышцы, снимает напряжение и усталость, помогает скорректировать фигуру;
Режим 3: Press (пресс) - уменьшает объем талии и укрепляет мышцы пресса, формирует рельеф мышечного пояса;
Режим 4: Massage (массаж) - укрепляет сосуды и стимулирует лимфо- и кровообращение, помогает при атрофии мышц и тканей;
Режим 5: Knead (разминка) - повышает физическую выносливость, ускоряет обменные процессы;
Режим 6: Intensify (укрепление) - укрепляет мышцы и улучшает питание кожи, добиваясь эффекта лифтинга кожи и упругости мышц;
 + Дополнительный режим (разогревающий эффект до 43 °C) - физиотерапевтическое действие, расслабление, снятие мышечных спазмов, боли и уменьшение накопления молочной кислоты.

Рекомендации специалистов:
 • Оптимальная длительность процедуры миостимуляции 30 минут. 
 • Проводить процедуру желательно раз в 2-3 дня по 30 минут, либо раз в 1-2 дня по 15-20 
    минут. 
 • Тренировка проводится примерно через 1-1,5 часа после приема пищи и не менее чем за 1,5-2 часа до сна.

Что даёт Миостимулятор:
-Благодаря мышечным сокращениям улучшается кровообращение и тканевая циркуляция жидкостей;
-Прибор усиливает метаболизм, избавляет от отеков и уменьшает количество жировой ткани;
-Укрепляет сосуды и стимулирует циркуляцию крови, улучшая питание кожи и работу мышц;
-Ваши мышцы и кожа становятся упругими, а тело подтянутым;
-Прибор способствует уменьшению целлюлита;
-Активизирует работу и питание тканей; 
-Поможет избавиться от лишнего веса;
-Сформировать красивый мышечный пояс;
-Придать мышцам тонус и рельеф;
 -Женщинам после родов помогает избавиться от растяжек, подтянуть живот, ягодицы и бедра.

Внимание:
Не используйте миостимулятор одновременно с другими медицинскими аппаратами, это может привести к серьезным повреждениям тела.

ems массажер для ног ; антицеллюлитный массажер ; антицеллюлитный массажер для тела ; аппарат для похудения ; вибромассажер для похудения ; вибромассажер для пресса ; вибромассажер для тела ; все для похудения ; для похудения живота ; для похудения тренажер ; для пресса ; для пресса миостимулятор ; для пресса тренажр ; для спины массажер ; домашний массажер ; домашний тренажер ; для массажа ; для массажа тела ; для шеи тренажер ; лимфодренажный массажер для ног; лимфодренажный массажер для тела ; масажер ; масажор для ног; массаж для ног ; массаж ног ; массаж шеи ; массажр ; массажер антицеллюлитный ; массажер антицеллюлитный для тела ; массажер для живота для похудения ; массажер для ног электрический с подогревом лимфодренажный; массажер для похудения живота ; массажер для ног ; массажер антицеллюлитный ручной ; массажер для всего тела антицеллюлитный ; массажер для пресса ; массажер для спины и шеи электрический ; массажер для тела антицеллюлитный ; массажер для тела ручной ; массажер для тела электрический ; массажер для шеи и спины ; массажер для шеи и спины электрический ; массажер для шеи электрический ; массажер ног электрические ; массажер от целлюлита электрический ; массажер спины ; массажер ручной для тела ; массажер электрический для тела ; массажор для ног ; массажоры для ног спины тела электрические ; микротоковый массажер для тела ; миостимулято-тренажер ; массажоры для шеи ; от целлюлита массажер ; тренажер для дома ; тренажер для живота ног и ягодиц ; тренажер для похудения ; Тренажер для пресса живота ; тренажер для спины ; тренажер для шеи ягодиц ; тренажеры для дома ; тренажеры для похудения ; электрический массажер для ног ; электро массажер для шеи и спины ; электромассажер для ног ; электромассажер для тела ; электромассажер для шеи и спины ; массажер для спины электрический ; массажер в машину"
1964207726,Beurer,"Встроенный аккумулятор, От порта USB","Тело, Поясница, Спина, Ягодицы","Вибрационный, Миостимулирующий, Расслабляющий, Антицеллюлитный, Импульсный, Лимфодренажный","Способ применения
1. Установите и зафиксируйте контролер выбора режима и интенсивности на передней части пояса, как это показано на рисунке. (Инструкция находится внутри коробки)
2. Распылите немного воды на силиконовую прокладку. Поддерживайте ее влажной на протяжении всей тренировки, для того чтобы пояс мог плотно прилегать к Вашему телу.
3. Закрепите пояс для похудения на Вашей талии.
4. Нажмите клавишу «+» для того чтобы включить массажер. С помощью клавиши «М» выберете 1 из 6 режимов работы. Затем снова нажмите на клавишу «+» для того чтобы отрегулировать интенсивность работы. Наш контролер имеет 9 уровней интенсивности. РЕКОМЕНДУЕТСЯ начинать тренировки с минимальной интенсивностью. В конце тренировки нажимайте клавишу «- » до тех пор, пока индикатор интенсивности не покажет значение «0». Затем снова нажмите клавишу «-» и массажер выключится.
5. После завершения тренировки протрите массажер влажным полотенцем и положите в чистое место. Ни в коем случае не мойте водой!
6. Рекомендовано использовать миостумулятор для пресса 2 раза в день с продолжительностью тренировки в 15 – 30 минут
7. Массажер автоматически выключится в течение 15 минут, если Вы не будете его использовать. Если же Вы хотите продолжить тренировку, то нажмите клавишу «+».
Способ применения
1. Установите и зафиксируйте контролер выбора режима и интенсивности на передней части пояса, как это показано на рисунке. (Инструкция находится внутри коробки)
2. Распылите немного воды на силиконовую прокладку. Поддерживайте ее влажной на протяжении всей тренировки, для того чтобы пояс мог плотно прилегать к Вашему телу.
3. Закрепите пояс для похудения на Вашей талии.
4. Нажмите клавишу «+» для того чтобы включить массажер. С помощью клавиши «М» выберете 1 из 6 режимов работы. Затем снова нажмите на клавишу «+» для того чтобы отрегулировать интенсивность работы. Наш контролер имеет 9 уровней интенсивности. РЕКОМЕНДУЕТСЯ начинать тренировки с минимальной интенсивностью. В конце тренировки нажимайте клавишу «- » до тех пор, пока индикатор интенсивности не покажет значение «0». Затем снова нажмите клавишу «-» и массажер выключится.
5. После завершения тренировки протрите массажер влажным полотенцем и положите в чистое место. Ни в коем случае не мойте водой!
6. Рекомендовано использовать миостумулятор для пресса 2 раза в день с продолжительностью тренировки в 15 – 30 минут
7. Массажер автоматически выключится в течение 15 минут, если Вы не будете его использовать. Если же Вы хотите продолжить тренировку, то нажмите клавишу «+»."
2176102014,HAFREE,От порта USB,"Ноги, Плечи, Поясница, Спина, Тело, Ягодицы","Вибрационный, Импульсный, Комбинированный, Миостимулирующий, Разминание, Расслабляющий","Способ применения
1. Перед использованием массажера, убедитесь, что область массажа тела чистая и не содержит следов пота. 
2. Установите массажер с помощью магнитных присосок на гелевую накладку;
3. Удалите защитную пленку с накладки;
4. Зафиксируйте накладку на необходимом участке тела, для лучшей фиксации можно воспользоваться ремешками, продев их между миостимулятором и накладкой;
5. Нажмите и удерживайте кнопку ""М"", чтобы запустить устройство. Также используйте пульт дистанционного управления для выбора необходимого режима и скорости;
6. Для выбора режима - короткое нажатие кнопки ""М""
При выборе скорости постепенно увеличивайте силу тока до тех пор, пока не почувствуете в теле комфорт;
Интенсивность: можно выбрать от 1 до 19.

Возможно использование 6 режимов работы:
Режим 1. Knock (покалывание) - расслабляет, уменьшает боль в мышцах и придает тонус, улучшает работу нервной системы;
Режим 2: Shake (встряска) - тонизирует, укрепляет мышцы, снимает напряжение и усталость, помогает скорректировать фигуру;
Режим 3: Press (пресс) - укрепляет мышцы пресса, формирует мышечный корсет;
Режим 4: Massage (массаж) - стимулирует лимфо- и кровообращение, помогает при атрофии мышц и тканей;
Режим 5: Knead (разминка) - ускоряет обменные процессы;
Режим 6: Intensify (укрепление) - укрепляет мышцы и улучшает питание кожи, дает эффект лифтинга кожи и упругость мышц;
 !!! Дополнительно разогревающий эффект (до 43 C) - физиотерапевтическое действие, расслабление, снятие мышечных спазмов, боли и уменьшение накопления молочной кислоты после тренировок.

Внимание!!!
-  Рекомендуется использовать прибор один раз в течение 30 минут. На одну зону воздействия - раз в 3 дня.
- Тайминг одного сеанса 30 минут по умолчанию (в соответствии с рекомендованной продолжительностью EMS-массажа). Если вы прервете сеанс, время следующего сеанса будет пересчитано.
Способ применения
1. Перед использованием массажера, убедитесь, что область массажа тела чистая и не содержит следов пота. 
2. Установите массажер с помощью магнитных присосок на гелевую накладку;
3. Удалите защитную пленку с накладки;
4. Зафиксируйте накладку на необходимом участке тела, для лучшей фиксации можно воспользоваться ремешками, продев их между миостимулятором и накладкой;
5. Нажмите и удерживайте кнопку ""М"", чтобы запустить устройство. Также используйте пульт дистанционного управления для выбора необходимого режима и скорости;
6. Для выбора режима - короткое нажатие кнопки ""М""
При выборе скорости постепенно увеличивайте силу тока до тех пор, пока не почувствуете в теле комфорт;
Интенсивность: можно выбрать от 1 до 19.

Возможно использование 6 режимов работы:
Режим 1. Knock (покалывание) - расслабляет, уменьшает боль в мышцах и придает тонус, улучшает работу нервной системы;
Режим 2: Shake (встряска) - тонизирует, укрепляет мышцы, снимает напряжение и усталость, помогает скорректировать фигуру;
Режим 3: Press (пресс) - укрепляет мышцы пресса, формирует мышечный корсет;
Режим 4: Massage (массаж) - стимулирует лимфо- и кровообращение, помогает при атрофии мышц и тканей;
Режим 5: Knead (разминка) - ускоряет обменные процессы;
Режим 6: Intensify (укрепление) - укрепляет мышцы и улучшает питание кожи, дает эффект лифтинга кожи и упругость мышц;
 !!! Дополнительно разогревающий эффект (до 43 C) - физиотерапевтическое действие, расслабление, снятие мышечных спазмов, боли и уменьшение накопления молочной кислоты после тренировок.

Внимание!!!
-  Рекомендуется использовать прибор один раз в течение 30 минут. На одну зону воздействия - раз в 3 дня.
- Тайминг одного сеанса 30 минут по умолчанию (в соответствии с рекомендованной продолжительностью EMS-массажа). Если вы прервете сеанс, время следующего сеанса будет пересчитано."
1680423616,MishelMax,"Встроенный аккумулятор, От порта USB","Спина, Тело, Руки, Поясница, Ноги, Плечи","Импульсный, Миостимулирующий",
1474493240,MishelMax,Встроенный аккумулятор,"Тело, Плечи",Миостимулирующий,
945844796,TARGO,"Сменная батарея, От сети 220В","Плечи, Поясница, Руки, Спина, Тело","Импульсный, Лечебный, Миостимулирующий, Оздоровительный, Расслабляющий, Лимфодренажный","Способ применения
ПОРЯДОК РАБОТЫ МИОСТИМУЛЯТОРА
Гелиевые пластины ->
1. Подключить сетевой адаптер одним концом к прибору, а другим в розетку.
2. Подключить к прибору гелиевые пластины, с помощью электронного провода.
3. Снять защитную пленку с гелиевых пластин.
4. Закрепить пластины на теле.
5. Нажать кнопкувкл/выкл.
6. Кнопкой «РЕЖИМ» выбрать режим воздействия (иглоукалывание, акупрессура, массирование, растирание, фитнес, гуаша, слимминг).
7. Кнопкой «ВРЕМЯ» установить время сеанса массажа.
8. Кнопкой «+» и «-» установить уровень мощности импульса на
основании индивидуальных ощущений.
9. По окончании установленного времени, прибор отключится автоматически, либо можно отключить самостоятельно нажав кнопку вкл/выкл.
10. Снять пластины с тела, отсоединить от прибора, промыть их теплой водой, стряхнуть излишнюю воду и закрыть защитной пленкой.
11. Выключить прибор из розетки, сложить все комплектующие в коробку.
ИК излучатель ->
1. Подключить сетевой адаптер одним концом к прибору, а другим в розетку.
2. Подключить к прибору ИК излучатель (верхний разъем).
3. Снять с ИК излучателя защитные колпачки.
4. Обработать ИК излучатель антисептическим средством и установить в пазухиноса.
5. Нажать кнопку вкл/выкл.
6. Кнопкой «РЕЖИМ» выбрать режим воздействия (иммунитет).
7. Кнопкой «ВРЕМЯ» установить время сеанса.
8. Кнопкой «+» и «-» установить уровень мощности импульса на основании индивидуальных ощущений.
9. По окончании установленного времени, прибор отключится автоматически, либо можно отключить самостоятельно нажав кнопку вкл/выкл.
10. Извлечь из пазух носа ИК излучатель, отключить от прибора, обработать и убрать в коробку.
Способ применения
ПОРЯДОК РАБОТЫ МИОСТИМУЛЯТОРА
Гелиевые пластины ->
1. Подключить сетевой адаптер одним концом к прибору, а другим в розетку.
2. Подключить к прибору гелиевые пластины, с помощью электронного провода.
3. Снять защитную пленку с гелиевых пластин.
4. Закрепить пластины на теле.
5. Нажать кнопкувкл/выкл.
6. Кнопкой «РЕЖИМ» выбрать режим воздействия (иглоукалывание, акупрессура, массирование, растирание, фитнес, гуаша, слимминг).
7. Кнопкой «ВРЕМЯ» установить время сеанса массажа.
8. Кнопкой «+» и «-» установить уровень мощности импульса на
основании индивидуальных ощущений.
9. По окончании установленного времени, прибор отключится автоматически, либо можно отключить самостоятельно нажав кнопку вкл/выкл.
10. Снять пластины с тела, отсоединить от прибора, промыть их теплой водой, стряхнуть излишнюю воду и закрыть защитной пленкой.
11. Выключить прибор из розетки, сложить все комплектующие в коробку.
ИК излучатель ->
1. Подключить сетевой адаптер одним концом к прибору, а другим в розетку.
2. Подключить к прибору ИК излучатель (верхний разъем).
3. Снять с ИК излучателя защитные колпачки.
4. Обработать ИК излучатель антисептическим средством и установить в пазухиноса.
5. Нажать кнопку вкл/выкл.
6. Кнопкой «РЕЖИМ» выбрать режим воздействия (иммунитет).
7. Кнопкой «ВРЕМЯ» установить время сеанса.
8. Кнопкой «+» и «-» установить уровень мощности импульса на основании индивидуальных ощущений.
9. По окончании установленного времени, прибор отключится автоматически, либо можно отключить самостоятельно нажав кнопку вкл/выкл.
10. Извлечь из пазух носа ИК излучатель, отключить от прибора, обработать и убрать в коробку."
262066450,Planta,От сети 220В,"Поясница, Ягодицы, Тело, Ноги, Плечи, Руки","Миостимулирующий, Акупунктурный, Антицеллюлитный, Гуаша, Классический, Комбинированный","Способ применения
Подсоедините электроды к соединительным проводам, далее подсоедините соединительные провода к миостимулятору. Снимите защитные пленки с поверхности электродов и приложите электрод клейкой стороной к чистому сухому и гладкому участку кожи и плотно прижмите его. Для того, чтобы включить миостимулятор, передвиньте переключатель «ВКЛ/ВЫКЛ», на нижней части корпуса миостимулятора, из положения «OFF» в положение «ON», далее выберите соответствующий подключению соединительных проводов канал. После этого установите один из 12 предустановленных режимов с помощью соответствующих кнопкой, задайте необходимое время от 10-60 минут и установите желаемый уровень интенсивности от 1 до 20.
Способ применения
Подсоедините электроды к соединительным проводам, далее подсоедините соединительные провода к миостимулятору. Снимите защитные пленки с поверхности электродов и приложите электрод клейкой стороной к чистому сухому и гладкому участку кожи и плотно прижмите его. Для того, чтобы включить миостимулятор, передвиньте переключатель «ВКЛ/ВЫКЛ», на нижней части корпуса миостимулятора, из положения «OFF» в положение «ON», далее выберите соответствующий подключению соединительных проводов канал. После этого установите один из 12 предустановленных режимов с помощью соответствующих кнопкой, задайте необходимое время от 10-60 минут и установите желаемый уровень интенсивности от 1 до 20."
150341662,SHUBOSHI,"От сети 220В, Сменная батарея",Лицо,,"Способ применения
Согласно инструкции
Способ применения
Согласно инструкции"
1567457720,Миостимуляторы,Сменный аккумулятор,"Ноги, Поясница, Руки, Ягодицы, Тело",Миостимулирующий,"Способ применения
1. Откройте крышку батарейного отсека, вставьте батарейку AAA в соответствии с инструкциями и закройте крышку батарейного отсека.
2. Вставьте штекер кабеля в выходное гнездо L физиотерапевтического инструмента и правильно подключите другой конец к физиотерапевтическим тапочкам или физиотерапевтическому пластырю. соединять.
3. Пожалуйста, наденьте обе ноги на физиотерапевтическую обувь одновременно или наклейте пластырь на часть физиотерапевтической иглы (часть, которая нуждается в физиотерапии), сначала очистите ее.
4. Нажмите и удерживайте кнопку (вверху слева от продукта), чтобы начать массаж.
5. Машина оснащена молотком, массажем, замешиванием, перкуссией и соскабливанием. Пальцы в автоматическом режиме и восемь режимов физиотерапии. Свободный выбор в соответствии с личными потребностями.
6. Аппарат оснащен средствами физиотерапии для плеч, коленей, рук, ног и т. д., которые можно использовать в соответствии с потребностями персонала. Необязательный.
7. Сила + – ключ к контролю силы массажа. Его можно настроить по стране в соответствии с личными потребностями.Если машина не может определить нагрузку, она выключится через 5 секунд после добавления кнопки скорости. Бит Si глупый D на ЖК-дисплее устанавливает индикатор для позиций файла интенсивности 1-15.
8. Когда продукт работает. Пожалуйста, вставьте обе стороны этикетки физиотерапии одновременно.
9. Нажмите кнопку, чтобы остановить цикл.
Машина имеет функцию автоматического отключения через 15-30 минут. Светодиодный экран «время» случайным образом отображает оставшееся рабочее время, когда светодиодный экран используется. На экране отображается время «0», и машина автоматически прекращает работу.
Способ применения
1. Откройте крышку батарейного отсека, вставьте батарейку AAA в соответствии с инструкциями и закройте крышку батарейного отсека.
2. Вставьте штекер кабеля в выходное гнездо L физиотерапевтического инструмента и правильно подключите другой конец к физиотерапевтическим тапочкам или физиотерапевтическому пластырю. соединять.
3. Пожалуйста, наденьте обе ноги на физиотерапевтическую обувь одновременно или наклейте пластырь на часть физиотерапевтической иглы (часть, которая нуждается в физиотерапии), сначала очистите ее.
4. Нажмите и удерживайте кнопку (вверху слева от продукта), чтобы начать массаж.
5. Машина оснащена молотком, массажем, замешиванием, перкуссией и соскабливанием. Пальцы в автоматическом режиме и восемь режимов физиотерапии. Свободный выбор в соответствии с личными потребностями.
6. Аппарат оснащен средствами физиотерапии для плеч, коленей, рук, ног и т. д., которые можно использовать в соответствии с потребностями персонала. Необязательный.
7. Сила + – ключ к контролю силы массажа. Его можно настроить по стране в соответствии с личными потребностями.Если машина не может определить нагрузку, она выключится через 5 секунд после добавления кнопки скорости. Бит Si глупый D на ЖК-дисплее устанавливает индикатор для позиций файла интенсивности 1-15.
8. Когда продукт работает. Пожалуйста, вставьте обе стороны этикетки физиотерапии одновременно.
9. Нажмите кнопку, чтобы остановить цикл.
Машина имеет функцию автоматического отключения через 15-30 минут. Светодиодный экран «время» случайным образом отображает оставшееся рабочее время, когда светодиодный экран используется. На экране отображается время «0», и машина автоматически прекращает работу."
