id,name,price,rating,feedbacks,brand,cluster,rating_group,power_type,zones,description
221329577,Миостимулятор 36 программ антицеллюлитный для похудения,2052.0,4.9,1021,,0,4.8+,USB; от аккумулятора,ноги; спина; тело,"Импульсный массажер – это высокотехнологичный инновационный прибор с увеличенным до 36-ти количеством программ для более широкого спектра применений на различных участках тела человека. EMS импульсы воздействуют на мышцы, а TENS на нервные окончания, кровеносные и лимфатические сосуды. В результате чего осуществляется комплексный массаж всех проблемных, болевых зон организма, который снимает боль, восстанавливает мышцы, кровообращение и отток лимфы. Стимулирует акупунктурные точки под воздействием электронных импульсов, тем самым быстро активизируя кровообращение.


Миостимулятор - это уникальное устройство, которое сочетает в себе функции вибромассажера и тренажера. Это решение для тех, кто хочет поддерживать свое тело в тонусе, бороться с целлюлитом. Представляем вам устройство для массажа – многофункциональный помощник для мужчин и женщин в борьбе за стройную фигуру и здоровую кожу, а также облегчению и устранению болей в мышцах и суставах после нагрузки или других причинах. Электромассажер оснащен электродами, которые передают электрические импульсы в мышцы, стимулируя их сокращение. Это подобно тренировке в спортзале, но без физического усилия. Такой эффект получил название электромассажа. Антицеллюлитный лимфодренажный эффект достигается за счет вибрации и миостимуляции, которые улучшают кровообращение и лимфодренаж, помогая тем самым избавиться от целлюлита и способствуют похудению. Антицеллюлитный вибромассажер незаменимый инструмент в борьбе за гладкую и упругую кожу. Убирает жировые складки и подкожный жир. Аппарат подходит для использования на различных частях тела. Он эффективен для тренировки пресса, массажа и ухода за кожей живота. Благодаря разнообразию настроек и режимов, можно выбрать идеальную программу, технику для своих нужд. Электроды можно купить по артикулу 236038784. Цвет монитора может быть синим или зеленым. Есть противопоказания.Инструкция на русском языке приложена к массажеру и на фото."
334678554,Миостимулятор 48 программ массажер для похудения,4196.0,4.9,1021,,2,4.8+,от аккумулятора,тело,"Четырехканальное обезболивание: 4-канальный стимулятор мышц EMS,TENS, Массаж предлагает четыре канала для точечного обезболивания. Независимо от того, боретесь ли вы с болью в спине, мышечным напряжением или дискомфортом в колене, это устройство обеспечивает комплексное покрытие.
Полный комплект для лечения боли: с включенным набором из 16 электродов у вас будет обширный запас для нескольких сеансов терапии. Попрощайтесь с неудобствами, связанными с отсутствием электродов.
Профессионалы доверяют: этот миостимулятор является предпочтительным выбором среди медицинских работников благодаря своей эффективности в решении различных проблем: от облегчения синдрома запястного канала до снятия мышечной боли.
Тройная терапия, тройные преимущества: ощутите комбинированные преимущества мышечной стимуляции EMS и терапии TENS , расслабления Массажем в одном устройстве. Достигайте расслабления мышц и направленного снятия боли с легкостью.
Облегчение боли на ходу: этот портативный прибор TENS позволяет вам брать облегчение боли с собой, куда бы вы ни пошли. Независимо от того, являетесь ли вы спортсменом, ищущим мышечную массажную терапию, или тем, кто нуждается в облегчении боли в шее, это устройство — ваше верное решение.
Четвертым преимуществом данного прибора является программа ""Сделай сам""-вы можете настроить одну программу исключительно под себя и свои нужды."
221352035,Миостимулятор 36 программ массажер для похудения,1847.0,4.9,1021,,0,4.8+,от аккумулятора,тело,"Импульсный массажер – это высокотехнологичный инновационный прибор с увеличенным до 36-ти количеством программ для более широкого спектра применений на различных участках тела человека. EMS импульсы воздействуют на мышцы, а TENS на нервные окончания, кровеносные и лимфатические сосуды. В результате чего осуществляется комплексный массаж всех проблемных, болевых зон организма, который снимает боль, восстанавливает мышцы, кровообращение и отток лимфы. Стимулирует акупунктурные точки под воздействием электронных импульсов, тем самым быстро активизируя кровообращение.

 Прибор миниатюрен по размерам, удобен в переноске и перезаряжаем через USB. 

Миостимулятор - это уникальное устройство, которое сочетает в себе функции вибромассажера и тренажера. Это решение для тех, кто хочет поддерживать свое тело в тонусе, бороться с целлюлитом. Представляем вам устройство для массажа – многофункциональный помощник для мужчин и женщин в борьбе за стройную фигуру и здоровую кожу, а также облегчению и устранению болей в мышцах и суставах после нагрузки или других причинах. Электромассажер оснащен электродами, которые передают электрические импульсы в мышцы, стимулируя их сокращение. Это подобно тренировке в спортзале, но без физического усилия. Такой эффект получил название электромассажа. Антицеллюлитный лимфодренажный эффект достигается за счет вибрации и миостимуляции, которые улучшают кровообращение и лимфодренаж, помогая тем самым избавиться от целлюлита и способствуют похудению. Антицеллюлитный вибромассажер незаменимый инструмент в борьбе за гладкую и упругую кожу. Убирает жировые складки и подкожный жир. Аппарат подходит для использования на различных частях тела. Он эффективен для тренировки пресса, массажа и ухода за кожей живота. Благодаря разнообразию настроек и режимов, можно выбрать идеальную программу, технику для своих нужд. Электроды можно купить по артикулу 236038784. Есть противопоказания. Инструкция на русском языке приложена к массажеру и на фото."
91028354,Миостимулятор массажер импульсный электрический для тела,2543.0,4.6,561,AShop,0,4.5-4.7,220В (5А); 3 батарейки ААА; USB-шнур,ноги; пресс; тело,"Миостимулятор импульсный массажер электрический для мышц всего тела используется для лечения, похудения, физиотерапии, тренировки, как антицеллюлитный массажер. 
В комплекте терапевтические тапочки-электроды, перчатки-электроды, носки-электроды, напульсники нарукавники-электроды, 16 липучек электродов, 2 шнура для накладок (на 2 и 4 электрода). 
ИНСТРУКЦИЯ НА РУССКОМ ЯЗЫКЕ в комплекте! Также она прикреплена в виде фото в карточке товара.
!ОБРАТИТЕ ВНИМАНИЕ, что без прикрепления электродов к участкам тела прибор через 3 секунды автоматически отключается во избежании перегрева! 
Электростимулятор для всего тела JR-309 – идеальный прибор для домашней физиотерапии, лечения, реабилитации, похудения и расслабления. Теперь не нужно тратиться на дорогостоящие процедуры в медицинских центрах и массажистов! 
Миостимулятор во время работы задействует все группы мышц. С помощью электродов сами можете регулировать на какие мышцы воздействовать. 
На обрабатываемую зону накладываются специальные накожные электроды. Через них на нервные окончания подаются электрические импульсы, которые заставляют мышцы сокращаться. После процедуры активизируется рост мышечных волокон, нормализуется работа лимфатической системы и кровообращения, ускоряются обменные процессы в организме и многое другое. 
Миостимулятор профессионально воздействует даже на очень слабые и обленившиеся мышцы к регулярным нагрузкам, помогает восстановиться после перенесенных травм, операций и болезней (для лечения невралгии, заболеваний костно-мышечной ткани, для поддержания прекрасного самочувствия). 
С помощью цифрового дисплея вы можете управлять электрическим массажёром: регулировать нагрузку, интенсивность и период воздействия биорезонансных токов. 
Электростимулятор для всего тела можно использовать в четырёх терапевтических режимах: массаж, шиацу, вибрационное постукивание, а также иглоукалывание. 
В приборе объедено 8 режимов работы и 10 уровней интенсивности. Сеанс рассчитан на 15 минут, потом прибор отключится."
169351017,"Миостимулятор FZ-1 ""ШУБОШИ"" для мышц",3986.0,4.9,365,SHUBOSHI,2,4.8+,от аккумулятора; от сети,Лицо / Тело / Руки / Ноги / Спина / Живот / Кожа,"Миостимулятор SHUBOSHI FZ-1 ""ШУБОШИ"" или ""Удобный Доктор"" - профессионал в области мионейростимуляции, воздействует низкочастотными биоэлектрическими импульсами уникальной формы, воссоздающими различные техники массажа. SHUBOSHI FZ-1 не уступает по эффективности профессиональным миостимуляторам, которые стоят в разы дороже, но при этом портативен и прост в эксплуатации. Миостимулятор имеет 4 уникальных режима для мио- и нейростимуляции: общеукрепляющий, акупунктурный, нормализующий и комбинированный, которые отлично решают такие задачи, как устранение болей, улучшение физиологического состояния, восстановление и укрепление различных групп мышц, улучшение местного кровообращения, нормализация обмена веществ, снятие стресса и др. Массажные режимы SHUBOSHI позволяют осуществлять в домашних условиях массаж с эффектом лифтинга и лимфодренажа, способствуя подтяжке кожи и ее омоложению естественными методами, а также с антицеллюлитным эффектом, помогая убрать лишние килограммы и скорректировать свой вес."
251013688,"Миостимулятор FZ-2 ""ШУБОШИ"" для мышц",4001.0,4.9,365,SHUBOSHI,2,4.8+,от аккумулятора,Лицо / Тело / Руки / Ноги / Спина / Живот / Кожа,"Миостимулятор SHUBOSHI FZ-2 - микрокомпьютерный 8-режимный биофизический прибор семейства Шубоши, генерирующий электрические сигналы, аналогичные биотокам здорового организма. Поступая в организм, эти сигналы способствуют восстановлению нормальных биотоков, присущих данному организму, т. е. восстановлению его здоровья. Частота генерации сигнала соответствует частоте колебаний магнитного поля Земли, а значит сигнал подается в диапазоне безопасных для организма частот.

FZ-2 предоставляет возможность решения трех главных задач:
— Терапия (устранение боли, стресса, восстановление)
— Реабилитация (улучшение работы организма)
— Профилактика (сохранение здоровья)

Реализация поставленных задач осуществляется благодаря основным функциям прибора SHUBOSHI FZ-2:
— Массаж (в том числе антицеллюлитный) и обезболивание.
— Иглоукалывание.
— Массаж биологически активных зон кистей и стоп (в том числе методом ""жидких электродов"").

Прибор SHUBOSHI FZ-2 прост в управлении и не требует особой подготовки для своего применения."
141376926,Миостимулятор электрический для тела и для похудения,3565.0,4.9,343,REMASO,0,4.8+,USB; от сети,шея; спина; ноги,"Массажер миостимулятор лимфодренажный микротоковый - ваш персональный физиотерапевтический тренер и помощник в укреплении здоровья мышц тела, поможет облегчить боль в спине, пояснице, шее ступнях ног, возникающей из-за длительных фитнес упражнений и повседневных домашних дел, улучшает работу сосудов активизирует кровообращение помогает восстановить питание фасций и ускоряет метаболизм, а также может быть задействован для оздоровления лица и похудения живота. Особенно показан электромассажер тем, у кого есть целлюлит жировые отложения для коррекции контуров зоны галифе и рук. Несомненно оценят микротоковый массажер для пресса, ягодиц бедер плеч и те, кому необходимо восстановление после физических нагрузок активных тренировок, а также увеличить функционал мышечных тканей после возможных повреждений. Прибор позволяет одновременно работать с двумя группами мышц. Методом электромиостимуляции (EMS) и электронейростимуляции (TENS) 25 режимов и два канала передают специальные электрические импульсы через электроды на кожу. Встроенный электронный модуль содержит несколько элементов управления. На ЖК-экране отображается выбранный режим, уровень мощности и оставшиеся минуты до окончания сеанса. Прерывание курса может снизить эффективность терапии поэтому регулярность процедур имеет огромное значение. Примяйте импульсный антицеллюлитный ручной массажёр один раз в день в течение не менее четырех недель для достижения наилучших результатов. Во время перерывов между циклами лечения рекомендуется пить больше воды, это усилит лечебный эффект. При использовании электродных накладок убедитесь, что они плотно прилегают к коже, располагая их на тех местах, где ощущается дискомфорт. Сам пациент может самостоятельно выбирать режимы работы и регулировать интенсивность влияния микротоков. Благодаря своей многофункциональности и простоте в эксплуатации, этот электромассажер может быть приятным подарком для замечательного самочувствия для любимых и близких людей, покупкой для себя."
35995950,"Миостимулятор FZ-1 ""ШУБОШИ"" для мышц",3846.0,4.9,545,SHUBOSHI,2,4.8+,,Лицо / Тело / Руки / Ноги / Спина / Живот / Кожа,"Миостимулятор SHUBOSHI FZ-1 ""ШУБОШИ"" или ""Удобный Доктор"" - профессионал в области мионейростимуляции, воздействует низкочастотными биоэлектрическими импульсами уникальной формы, воссоздающими различные техники массажа. SHUBOSHI FZ-1 не уступает по эффективности профессиональным миостимуляторам, которые стоят в разы дороже, но при этом портативен и прост в эксплуатации. Миостимулятор имеет 4 уникальных режима для мио- и нейростимуляции: общеукрепляющий, акупунктурный, нормализующий и комбинированный, которые отлично решают такие задачи, как устранение болей, улучшение физиологического состояния, восстановление и укрепление различных групп мышц, улучшение местного кровообращения, нормализация обмена веществ, снятие стресса и др. Массажные режимы SHUBOSHI позволяют осуществлять в домашних условиях массаж с эффектом лифтинга и лимфодренажа, способствуя подтяжке кожи и ее омоложению естественными методами, а также с антицеллюлитным эффектом, помогая убрать лишние килограммы и скорректировать свой вес."
143533250,"Массажер миостимулятор для тела, спины, шеи и поясницы",2867.0,4.7,2166,TARGO,0,4.5-4.7,от аккумулятора; от сети,спина; тело; ноги,"Массажер мио стимулятор - многофункциональный персональный помощник для Здоровья и экспресс Восстановления всего тела в одном миниатюрном приборе у вас дома.Эффективно и безболезненно действует на зоны:- спина- поясница- ноги- шея- колени- бедра- пресс и живот. Электрическая мионейростимуляция – это оздоровительная процедура с воздействием низкочастотных микротоков на мышечную ткань.В основе работы EMS и TENS стимуляция нервных окончаний путем передачи импульсного тока через электроды для расслабления, восстановления или стимуляции мышц. Организм воспринимает импульсы как естественные и мускулатура сокращается без совершения реальной работы. Аппликаторы сокращают мышцы, обогащая кровь кислородом. Происходит отток лимфы и улучшение мышечного тонуса.Прибор мгновенно снимает боли и спазмы в обасти плеч, восстанавливает после инсультов, травм и операций. Борется с варикозом, убирает целлюлит и жировые отложения на ягодицах при похудении. Портативный мини электро гаджет предназначен для массажа, антицеллюлитной коррекции веса фигуры и сжигания жира.Функции массирование, растирание и аккурунктура подходят женщинам и мужчинам.Уникальные ЛОР насадки помогают малышам и взрослым в лечении и профилактике респираторных заболеваний. Универсальный инновационный мультифункциональный аппарат удобен в домашних условиях. Лечебные программы электромиостимуляции, электронейростимуляции и лимфодренажа.Микротоковый электрофорез снимает стресс, усталость и эмоциональную нагрузку. Миомассажер избавит от остео хондроза, тяжести в тканях при повышенных физических нагрузках, спортивных тренировках и малоподвижном образе жизни. Устраняет застойные явления, повышает выносливость, улучшает сон и восполняет жизненные силы. Регулировка уровней интенсивности заменит девайсы для спорта. Тренажер от остеохондроза подарок родителям на юбилей 60 лет. Маме, папе, бабушке, дедушке, теще. Дарите шейный электромассажер в день рождения брату, любимому мужу, подруге и сестре"
198641294,Миостимулятор Массажер электрический Тренажер для пресса,509.0,4.3,1187,Missis A,0,4.0-4.4,от батареек,ноги; живот; руки,"Миостимулятор тренажер для мышц всего тела, рук, пресса, живота - это отличное решение, когда нет времени и финансов на занятия в тренажерных залах. Массажеры косметические идеальны для коррекции фигуры в том числе для похудения живота и боков. Во время его работы вы не испытаете чувства дискомфорта и можете заниматься важными делами. Занятие длится 12 минут один раз в день, 6 уровней интенсивности импульса. Просто закрепите силиконовые накладки и электроды на теле - миотренажер будет работать без вашей помощи. Результат достигается за счёт электрических импульсов под воздействием которых происходит сокращение мышц, не вибрирует. Привести тело в идеальную форму, не прибегая к тренажерам, или усилить эффект от тренировок, чтобы достичь максимальных видимых результатов? Со стимулятором мышц - это намного проще, чем вы могли представить. Вибромассажер стимулирует их работу и быстрее сжигает жировую прослойку. Жиросжигающий пояс улучшает процесс кровообращения и обменные процессы в организме. Наш пояс для похудения является косметическим, потому что избавляет от целлюлита и дряблости кожи, сжигает жир. Эффекты: антицеллюлитный, лимфодренажный. Рекомендован к использованию после родов для восстановления мышц живота. EMS - Trainer изготовлен из высококачественных материалов. Абсолютно безопасен и эффективен. Этот домашний спортивный тренажер помогает привести тело в форму просто занимаясь домашними делами, не изнуряя себя многочасовыми тренировками в зале. Компактный беспроводной тренажер укрепляет мышцы, улучшает кровообращение. Носите его, когда выполняете ежедневные задачи, просто расслабляетесь и лежите. Электрическая стимуляция мышц, является клинически доказанным эффективным методом для тренировки мышц тела посредством целенаправленного направления электронных импульсов. Это лучший домашний тренажер для достижения ваших целей к фигуре мечты!"
